FUNCTION,AGENCY
"VF 427 CHILDREN, NEGLECTED, REGISTRATION OF HOMES FOR","VA 1467 Children's Welfare Department (previously Department for Neglected Children), Chief Secretary's Department 1907 -1961 Prime"
"VF 452 LIQUOR LICENCES, REDUCTION/COMPENSATION",VA 2906 Licences Reduction Board 1907 -1968 Prime
VF 418 WATER SUPPLY,VA 2164 Traralgon Waterworks Trust 1907 -1983 Prime
"VF 128 HEALTH, MENTAL",VA 2845 Royal Park (Receiving House 1907-1909; Hospital for the Insane 1909-1934; Mental Hospital 1934-1954; Psychiatric Hospital 1954-ct) 1907 -ct Prime
VF 30 FORESTS,VA 534 Department of State Forests (Forests Commission) 1908 -1983 Prime
VF 418 WATER SUPPLY,VA 2172 Warragul Waterworks Trust 1908 -1984 Prime
VF 173 NATIONAL PARKS,VA 542 Wilson's Promontory National Park 1908 -ct Prime
VF 24 GEOLOGICAL SURVEY,VA 612 Mines Department (also known as Department of Mines and Mining Department) 1909 -1977 Prime
VF 62 MINING,VA 612 Mines Department (also known as Department of Mines and Mining Department) 1909 -ct Prime
VF 98 FISHERIES AND WILDLIFE,VA 618 Department of Agriculture 1910 -1913 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 618 Department of Agriculture 1910 -1913 Prime
VF 122 RURAL WATER SUPPLY,VA 873 Geelong Waterworks and Sewerage Trust 1910 -1984 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 873 Geelong Waterworks and Sewerage Trust 1910 -1984 Prime
VF 418 WATER SUPPLY,VA 873 Geelong Waterworks and Sewerage Trust 1910 -1984 Prime
VF 139 EMPLOYMENT SERVICE,VA 538 Department of Crown Lands and Survey 1911 -1918 Prime
VF 108 STATE COAL MINE,"VA 2876 Victorian Railways (also Victorian Railways Commissioners 1883-1973, Victorian Railways Board 1973-1983) 1911 -ct Prime"
VF 126 MEAT INSPECTION,VA 2904 Department of Public Health 1911 -ct Prime
VF 418 WATER SUPPLY,VA 4127 Morwell Waterworks Trust 1912 -1983 Prime
"VF 377 BANKS, STATE",VA 1041 State Bank of Victoria 1912 -1990 Prime
"VF 128 HEALTH, MENTAL",VA 2846 Mont Park (Hospital for the Insane 1912-1934; Mental Hospital 1934-c.1970's; Mental/Psychiatric Hospital c.1970's-ct) 1912 -ct Prime
VF 26 HERBARIUM,VA 475 Chief Secretary's Department 1913 -1925 Prime
VF 34 SETTLEMENT SCHEMES (IRRIGABLE LAND),VA 723 State Rivers and Water Supply Commission (SRWSC) 1913 -1933 Prime
VF 98 FISHERIES AND WILDLIFE,VA 475 Chief Secretary's Department 1913 -1973 Prime
"VF 230 FISHERIES, COMMERCIAL LICENCES",VA 475 Chief Secretary's Department 1913 -1973 Prime
VF 15 ROADS AND BRIDGES,VA 722 Country Roads Board 1913 -1983 Prime
VF 418 WATER SUPPLY,VA 2125 Maffra Waterworks Trust 1913 -1984 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2134 Mortlake Waterworks Trust 1915 -1984 Prime
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 2874 Department of Labour I 1916 -1954 Other
VF 135 FACTORY REGISTRATION,VA 2874 Department of Labour I 1916 -1954 Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 2874 Department of Labour I 1916 -1954 Prime
VF 141 CONSUMER PROTECTION,VA 2874 Department of Labour I 1916 -1954 Prime
VF 254 INDUSTRIAL COMPLIANCE,VA 2874 Department of Labour I 1916 -1954 Prime
VF 259 RETAIL TRADING HOURS,VA 2874 Department of Labour I 1916 -1954 Prime
"VF 355 PRIVATE EMPLOYMENT AGENCIES, REGISTRATION OF",VA 2874 Department of Labour I 1916 -1954 Prime
VF 418 WATER SUPPLY,VA 4092 Rosedale Waterworks Trust 1916 -1983 Prime
VF 484 TRAMWAY CONSTRUCTION,VA 2693 Tramway Board 1916 -ct Prime
VF 486 TRAMWAY OPERATIONS,VA 2693 Tramway Board 1916 -ct Prime
VF 94 LIQUOR LICENSING,VA 2955 Licensing Court of Victoria 1917 -1954 Prime
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",VA 2955 Licensing Court of Victoria 1917 -1954 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2530 Warrnambool II (Municipal District 1855-1863; Borough 1863-1883; Town 1883-1918; City 1918-1994) 1917 -1984 Prime
VF 138 IMMIGRATION (TWENTIETH CENTURY),VA 2874 Department of Labour I 1918 -1923 Prime
VF 139 EMPLOYMENT SERVICE,VA 2874 Department of Labour I 1918 -ct Prime
VF 485 TRAMWAY CONSTRUCTION AND OPERATION,VA 2978 Hawthorn Tramways Trust 1919 -1920 Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 2974 North Melbourne Electric Tramways and Lighting Company Limited 1919 -1922 Prime
VF 224 INDUSTRIAL RELATIONS,VA 4286 Railways Classification Board 1919 -1948 Other
VF 485 TRAMWAY CONSTRUCTION AND OPERATION,VA 2977 Prahran and Malvern Tramways Trust 1920 -1920 Prime
VF 485 TRAMWAY CONSTRUCTION AND OPERATION,"VA 2971 Melbourne, Brunswick and Coburg Tramways Trust 1920 -1920 Prime"
VF 485 TRAMWAY CONSTRUCTION AND OPERATION,VA 2973 Footscray Tramways Trust 1920 -1920 Prime
VF 485 TRAMWAY CONSTRUCTION AND OPERATION,"VA 2972 Fitzroy, Northcote and Preston Tramways Trust 1920 -1920 Prime"
VF 485 TRAMWAY CONSTRUCTION AND OPERATION,VA 2974 North Melbourne Electric Tramways and Lighting Company Limited 1920 -1922 Prime
VF 17 SURVEY,"VA 4811 Department of Crown Lands and Survey, Geelong Division 1921 -1983 Prime"
VF 113 SETTLEMENT SCHEMES (SOLDIER SETTLEMENT),"VA 4811 Department of Crown Lands and Survey, Geelong Division 1921 -1983 Prime"
VF 309 CROWN LANDS (PUBLIC),"VA 4811 Department of Crown Lands and Survey, Geelong Division 1921 -1983 Prime"
VF 310 CROWN LANDS (GOVERNMENT),"VA 4811 Department of Crown Lands and Survey, Geelong Division 1921 -1983 Prime"
VF 475 SETTLEMENT SCHEMES (CLOSER SETTLEMENT),"VA 4811 Department of Crown Lands and Survey, Geelong Division 1921 -1983 Prime"
VF 19 EDUCATION,VA 1422 Architects Registration Board of Victoria 1922 -ct Prime
VF 244 BUILDING REGULATION,VA 1422 Architects Registration Board of Victoria 1922 -ct Prime
VF 485 TRAMWAY CONSTRUCTION AND OPERATION,VA 2694 Melbourne and Metropolitan Tramways Board 1922 -ct Prime
VF 138 IMMIGRATION (TWENTIETH CENTURY),VA 538 Department of Crown Lands and Survey 1923 -1927 Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 4603 Yallourn Power Station 1923 -ct Prime
VF 418 WATER SUPPLY,VA 4132 Trafalgar Waterworks Trust 1924 -1983 Prime
VF 122 RURAL WATER SUPPLY,VA 2163 Toora Waterworks Trust 1924 -1984 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 5030 Casterton and Coleraine Waterworks Trust (1924-1925; Coleraine and Casterton Waterworks Trust 1925-1984) 1924 -1984 Prime
VF 418 WATER SUPPLY,VA 2163 Toora Waterworks Trust 1924 -1984 Prime
VF 26 HERBARIUM,VA 538 Department of Crown Lands and Survey 1925 -1983 Prime
VF 138 IMMIGRATION (TWENTIETH CENTURY),VA 475 Chief Secretary's Department 1927 -1971 Prime
VF 101 MARINE BOARD OF VICTORIA,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1927 -ct Prime
VF 387 HARBOUR MANAGEMENT - WARRNAMBOOL,VA 2836 Warrnambool Harbour Board 1928 -1936 Prime
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 899 Apprenticeship Commission 1928 -1975 Prime
VF 418 WATER SUPPLY,VA 2159 Stratford Waterworks Trust 1928 -1984 Prime
VF 32 UNUSED ROADS AND WATER FRONTAGES,VA 538 Department of Crown Lands and Survey 1928 -ct Prime
VF 33 WIRE NETTING ADVANCES,VA 538 Department of Crown Lands and Survey 1928 -ct Prime
VF 173 NATIONAL PARKS,VA 546 Kinglake National Park 1928 -ct Prime
VF 364 LEGAL AID,VA 2282 Office of the Public Solicitor 1929 -1981 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2044 Warrnambool Sewerage Authority 1929 -1983 Prime
VF 47 ELECTRIC LIGHT AND POWER,VA 1002 State Electricity Commission of Victoria (previously known as the Electricity Commissioners) 1930 -1993 Prime
"VF 132 VERMIN, DESTRUCTION IN FORESTS",VA 534 Department of State Forests (Forests Commission) 1932 -1983 Prime
VF 113 SETTLEMENT SCHEMES (SOLDIER SETTLEMENT),VA 2268 Closer Settlement Commission 1933 -1938 Prime
VF 475 SETTLEMENT SCHEMES (CLOSER SETTLEMENT),VA 2268 Closer Settlement Commission 1933 -1938 Prime
VF 418 WATER SUPPLY,VA 4126 Moe Waterworks Trust 1933 -1983 Prime
VF 34 SETTLEMENT SCHEMES (IRRIGABLE LAND),VA 2268 Closer Settlement Commission 1933 -ct Prime
"VF 128 HEALTH, MENTAL",VA 2861 Travancore  (Special School 1933-1938; Developmental Centre 1938-1968;  Psychiatric Development Centre 1968-1982;  Child and Family Centre 1982-ct) 1933 -ct Prime
"VF 303 BUILDINGS, HISTORIC (PROTECTION OF)",VA 1577 Shrine of Remembrance Trustees 1933 -ct Prime
"VF 445 IMMIGRANTS, BRITISH, SETTLEMENT OF",VA 2268 Closer Settlement Commission 1933 -ct Prime
"VF 128 HEALTH, MENTAL",VA 2865 Department of Mental Hygiene (located in Chief Secretary's Department VA 475) 1934 -1944 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 2865 Department of Mental Hygiene (located in Chief Secretary's Department VA 475) 1934 -1944 Prime
VF 451 LICENSING COUNTRY COMMERCIAL PASSENGER VEHICLES,VA 2738 Transport Regulation Board 1934 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 1982 Hamilton Sewerage Authority 1935 -1983 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 1972 Dandenong Sewerage Authority 1935 -1984 Prime
VF 418 WATER SUPPLY,VA 2084 Drouin Waterworks Trust 1935 -1984 Prime
VF 418 WATER SUPPLY,VA 1948 Ararat Sewerage Authority 1935 -1984 Prime
VF 418 WATER SUPPLY,VA 2043 Warragul Sewerage Authority 1935 -1984 Prime
VF 418 WATER SUPPLY,VA 2029 Shepparton Sewerage Authority 1936 -? 1994 Prime
VF 64 HEAD OF GOVERNMENT,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) 1936 -1982 Prime
VF 286 AGENT-GENERAL AND TRADE COMMISSIONERS,VA 2717 Department of the Premier (also known as Premier's Department 1960-1982) 1936 -1982 Prime
VF 68 PUBLIC SERVICE,VA 2832 Commonwealth Public Service Board 1936 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 1230 The Cancer Council (formerly known as the Anti-Cancer Council of Victoria) 1936 -ct Prime
VF 229 RESEARCH INSTITUTES,VA 1230 The Cancer Council (formerly known as the Anti-Cancer Council of Victoria) 1936 -ct Prime
VF 387 HARBOUR MANAGEMENT - WARRNAMBOOL,VA 669 Public Works Department (previously the Department of the Commissioner of Public Works) 1936 -ct Prime
VF 482 TOURIST ROADS,VA 722 Country Roads Board 1936 -ct Prime
VF 180 ZOOS,VA 572 Zoological Board of Victoria 1937 -1995 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,VA 2847 Janefield (Colony 1937-1962; Training Centre 1962-ct) 1937 -ct Prime
VF 113 SETTLEMENT SCHEMES (SOLDIER SETTLEMENT),VA 538 Department of Crown Lands and Survey 1938 -1946 Prime
VF 418 WATER SUPPLY,VA 2001 Maffra Sewerage Authority 1938 -1984 Prime
VF 345 WORKERS COMPENSATION ARBITRATION,VA 876 Workers Compensation Board 1938 -1985 Prime
VF 106 GOLDBUYERS' LICENCES,VA 612 Mines Department (also known as Department of Mines and Mining Department) 1938 -ct Prime
VF 475 SETTLEMENT SCHEMES (CLOSER SETTLEMENT),VA 538 Department of Crown Lands and Survey 1938 -ct Prime
VF 418 WATER SUPPLY,VA 2039 Traralgon Sewerage Authority 1939 -1983 Prime
VF 122 RURAL WATER SUPPLY,VA 2090 Foster Waterworks Trust 1939 -1984 Prime
VF 418 WATER SUPPLY,VA 4726 Leongatha Sewerage Authority 1939 -1984 Prime
VF 418 WATER SUPPLY,VA 2090 Foster Waterworks Trust 1939 -1984 Prime
VF 418 WATER SUPPLY,VA 4728 Yarram Sewerage Authority 1939 -1984 Prime
VF 146 POWER STATION NEWPORT B,VA 1002 State Electricity Commission of Victoria (previously known as the Electricity Commissioners) 1939 -1993 Prime
VF 418 WATER SUPPLY,VA 2181 Ararat City Council Waterworks Trust 1940 -1984 Prime
VF 453 LUNACY ESTATES ADMINISTRATION,VA 719 Office of the Public Trustee 1940 -ct Prime
"VF 69 INSURANCE, STATE",VA 2893 State Motor Car Insurance Office 1941 -1975 Prime
VF 206 PUBLIC RECORDS,VA 2733 Genealogical Society of Victoria 1941 -ct Prime
VF 133 NOXIOUS WEEDS DESTRUCTION IN FORESTS,VA 534 Department of State Forests (Forests Commission) 1943 -1983 Prime
"VF 125 HEALTH, PUBLIC",VA 4807 Geelong Old Folks Home 1944 -1959 Prime
VF 28 CEMETERIES,VA 695 Department of Health I 1944 -1978 Prime
"VF 125 HEALTH, PUBLIC",VA 695 Department of Health I 1944 -1978 Prime
"VF 128 HEALTH, MENTAL","VA 2866 Mental Hygiene Branch, Department of Health I 1944 -1978 Prime"
"VF 128 HEALTH, MENTAL",VA 695 Department of Health I 1944 -1978 Prime
VF 249 INTELLECTUAL DISABILITY SERVICES,"VA 2866 Mental Hygiene Branch, Department of Health I 1944 -1978 Prime"
VF 127 GOVERNMENT MEDICAL SERVICES,VA 695 Department of Health I 1944 -ct Prime
VF 129 POISONS AND NARCOTIC SUBSTANCES,VA 695 Department of Health I 1944 -ct Prime
VF 131 SCHOOL MEDICAL AND DENTAL SERVICES,VA 695 Department of Health I 1944 -ct Prime
VF 252 WELFARE SERVICES,VA 5032 Children's Court Clinic 1944 -ct Other
"VF 307 HEALTH CARE PROFESSIONALS, REGISTRATION OF",VA 695 Department of Health I 1944 -ct Prime
VF 353 HEALTH AND SAFETY (PUBLIC BUILDINGS),VA 695 Department of Health I 1944 -ct Prime
VF 436 FIRE FIGHTING (RURAL FIRE CONTROL),VA 482 Country Fire Authority 1944 -ct Prime
VF 50 STATE TRUSTEE,VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) 1845 -1949 Prime
VF 418 WATER SUPPLY,VA 4599 Mirboo North Waterworks Trust 1845 -1984 Prime
VF 327 HERITAGE PROTECTION,VA 1462 National Trust of Australia (Victoria) 1845 -ct Prime
VF 113 SETTLEMENT SCHEMES (SOLDIER SETTLEMENT),VA 2270 Soldier Settlement Commission 1946 -1962 Prime
VF 478 TEACHING SERVICE EMPLOYMENT REGULATION,VA 2311 Teachers Tribunal 1946 -1982 Prime
VF 418 WATER SUPPLY,VA 2056 Shire of Ararat Waterworks Trust 1946 -1984 Prime
VF 317 EDUCATION (ADULT),VA 1195 CAE [also known as Council of Adult Education (1946-2001); Centre for Adult Education (2001-2003)] 1946 -1991 Prime
VF 68 PUBLIC SERVICE,VA 2956 Dr. E.W. Russell 1946 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4928 Westernport Waterworks Trust 1947 -1983 Prime
VF 418 WATER SUPPLY,VA 4125 Moe Sewerage Authority 1947 -1983 Prime
VF 418 WATER SUPPLY,VA 4928 Westernport Waterworks Trust 1947 -1983 Prime
VF 122 RURAL WATER SUPPLY,VA 2105 Inverloch Waterworks Trust 1947 -1984 Prime
VF 418 WATER SUPPLY,VA 2105 Inverloch Waterworks Trust 1947 -1984 Prime
VF 418 WATER SUPPLY,VA 2143 Noojee Waterworks Trust 1947 -1984 Prime
VF 195 FILM LIBRARY AND THEATRE,VA 2325 State Film Centre 1947 -1997 Prime
VF 336 EXECUTIVE,VA 3031 Parliamentary Secretary of the Cabinet 1947 -ct Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 4786 Springvale and Noble Park Sewerage Authority 1948 -? 1984 Prime
VF 470 RENT CONTROL - PRESCRIBED PREMISES,VA 4145 Commonwealth Rent Controller 1948 -1948 Prime
VF 49 PRICE CONTROL,VA 2825 Attorney-General's Department (previously known as the Law Department) 1948 -1950 Other
VF 461 PROBATE AND ADMINISTRATION,VA 2613 Master of the Supreme Court 1948 -1960 Prime
VF 67 HOSPITALS AND CHARITIES,VA 693 Hospitals and Charities Commission 1948 -1978 Prime
VF 470 RENT CONTROL - PRESCRIBED PREMISES,VA 2586 Fair Rents Boards 1948 -1982 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 1949 Bacchus Marsh Sewerage Authority 1949 -1983 Prime
VF 50 STATE TRUSTEE,VA 2825 Attorney-General's Department (previously known as the Law Department) 1949 -ct Prime
"VF 125 HEALTH, PUBLIC",VA 4001 Peter MacCallum Cancer Institute (known as the Cancer Institute 1949 - 1986) 1949 -ct Prime
VF 229 RESEARCH INSTITUTES,VA 4001 Peter MacCallum Cancer Institute (known as the Cancer Institute 1949 - 1986) 1949 -ct Prime
VF 19 EDUCATION,VA 4813 Geelong Teachers' College 1950 -1974 Prime
VF 418 WATER SUPPLY,VA 2336 Yarragon Waterworks Trust 1950 -1983 Prime
VF 122 RURAL WATER SUPPLY,VA 4722 Meeniyan Waterworks Trust 1950 -1984 Prime
VF 418 WATER SUPPLY,VA 4722 Meeniyan Waterworks Trust 1950 -1984 Prime
VF 418 WATER SUPPLY,VA 4598 Hernes Oak Waterworks Trust 1951 -1982 Prime
VF 147 POWER STATION NEWPORT A,VA 1002 State Electricity Commission of Victoria (previously known as the Electricity Commissioners) 1951 -1993 Prime
VF 148 GAS AND FUEL,VA 1040 Gas and Fuel Corporation 1951 -1995 Prime
VF 403 PUBLIC TRANSPORT,VA 673 Department of Transport (known as Ministry of Transport 1951 to 1992) 1951 -1996 Prime
"VF 491 TRANSPORT SERVICES, CO-ORDINATION OF",VA 673 Department of Transport (known as Ministry of Transport 1951 to 1992) 1951 -1996 Prime
VF 19 EDUCATION,VA 4919 Adult Multicultural Education Services (AMES) 1951 -ct Other 
"VF 128 HEALTH, MENTAL",VA 2838 Mental Hygiene Authority 1952 -1962 Prime
"VF 125 HEALTH, PUBLIC",VA 1251 Mordialloc-Cheltenham Community Hospital 1953 -1996 Other
VF 94 LIQUOR LICENSING,VA 2905 Victorian Licensing Court 1954 -1968 Prime
"VF 302 LIQUOR LICENCES, ISSUE AND REGISTRATION OF",VA 2905 Victorian Licensing Court 1954 -1968 Prime
VF 141 CONSUMER PROTECTION,VA 1027 Department of Labour and Industry 1954 -1970 Prime
VF 121 INDUSTRIAL AND APPRENTICESHIP TRAINING,VA 1027 Department of Labour and Industry 1954 -1980 Other
VF 135 FACTORY REGISTRATION,VA 1027 Department of Labour and Industry 1954 -1984 Prime
VF 136 HEALTH AND SAFETY (WORKPLACE),VA 1027 Department of Labour and Industry 1954 -1984 Prime
VF 254 INDUSTRIAL COMPLIANCE,VA 1027 Department of Labour and Industry 1954 -1985 Prime
VF 255 SHOP REGISTRATION,VA 1027 Department of Labour and Industry 1954 -1985 Prime
VF 259 RETAIL TRADING HOURS,VA 1027 Department of Labour and Industry 1954 -1985 Prime
VF 418 WATER SUPPLY,VA 1430 Latrobe Valley Water and Sewerage Board 1954 -1991 Prime
"VF 355 PRIVATE EMPLOYMENT AGENCIES, REGISTRATION OF",VA 1027 Department of Labour and Industry 1954 -ct Prime
"VF 359 TOBACCO SELLERS, LICENSING OF",VA 1027 Department of Labour and Industry 1954 -ct Prime
VF 418 WATER SUPPLY,VA 4601 Boolara Waterworks Trust 1955 -1983 Prime
"VF 52 ESTATE AGENTS, REGISTRATION OF",VA 865 Department of the Treasurer (also known as Treasury and Treasurer's Office) 1956 -1974 Prime
VF 102 METROPOLITAN FORESHORES,VA 1007 Melbourne Water Corporation [known as Melbourne and Metropolitan Board of Works to 1992] 1956 -1974 Prime
VF 158 ROADS AND BRIDGES (METROPOLITAN),VA 1007 Melbourne Water Corporation [known as Melbourne and Metropolitan Board of Works to 1992] 1956 -1974 Prime
VF 194 ARTS,VA 4808 Geelong and District Cultural Institute 1956 -1980 Prime
VF 400 PARLIAMENT,VA 4052 Subordinate Legislation Committee 1956 -1982 Other
VF 418 WATER SUPPLY,VA 4724 Korumburra Sewerage Authority 1956 -1984 Prime
"VF 125 HEALTH, PUBLIC",VA 1662 Beeac and District Hospital 1956 -ct Prime
VF 175 ABORIGINAL AFFAIRS,VA 4371 Aborigines Welfare Board 1957 -1968 Other
VF 418 WATER SUPPLY,VA 4135 Yallourn North Waterworks Trust 1957 -1983 Prime
VF 418 WATER SUPPLY,VA 2142 Neerim South Waterworks Trust 1957 -1984 Prime
VF 122 RURAL WATER SUPPLY,VA 2088 Fish Creek Waterworks Trust 1958 -1984 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 2061 Balmoral Waterworks Trust 1958 -1984 Prime
VF 418 WATER SUPPLY,VA 2088 Fish Creek Waterworks Trust 1958 -1984 Prime
VF 244 BUILDING REGULATION,VA 601 Local Government Department 1958 -1985 Prime
VF 184 LOCAL GOVERNMENT,VA 601 Local Government Department 1958 -1991 Prime
VF 416 WATER AND SEWERAGE AUTHORITIES,VA 1429 First Mildura Irrigation Trust 1958 -ct Prime
VF 418 WATER SUPPLY,VA 1429 First Mildura Irrigation Trust 1958 -ct Prime
VF 481 TOURIST RESORTS AND FACILITIES DEVELOPMENT,VA 2918 Tourist Development Authority 1958 -ct Prime
VF 41 CORPORATE AFFAIRS,VA 2725 Companies Office (Also known as Companies Registration Office) 1959 -1974 Prime
"VF 480 TOURIST BUREAUX, STATE, MANAGEMENT","VA 2881 Department of State Development, Decentralisation and Tourism 1959 -1978 Prime"
"VF 132 VERMIN, DESTRUCTION IN FORESTS",VA 1376 Vermin and Noxious Weeds Destruction Board 1959 -1983 Prime
VF 133 NOXIOUS WEEDS DESTRUCTION IN FORESTS,VA 1376 Vermin and Noxious Weeds Destruction Board 1959 -1983 Prime
VF 418 WATER SUPPLY,VA 4133 Tyers and Glengarry Waterworks Trust 1959 -1983 Prime
VF 122 RURAL WATER SUPPLY,VA 2316 Dumbalk Waterworks Trust 1959 -1984 Prime
VF 418 WATER SUPPLY,VA 2316 Dumbalk Waterworks Trust 1959 -1984 Prime
"VF 125 HEALTH, PUBLIC","VA 4806 Grace McKellar House, Geelong Rehabilitation Hospital and Centre for the Aged 1959 -ct Prime"
VF 13 PRISONS AND YOUTH TRAINING CENTRES,"VA 2784 Social Welfare Branch, Chief Secretary's Department 1960 -1971 Prime"
VF 93 PROBATION AND PAROLE SERVICES (YOUTH),"VA 2784 Social Welfare Branch, Chief Secretary's Department 1960 -1971 Prime"
VF 190 PROBATION AND PAROLE SERVICES (ADULT),"VA 2784 Social Welfare Branch, Chief Secretary's Department 1960 -1971 Prime"
"VF 22 LIBRARY, STATE",VA 475 Chief Secretary's Department 1960 -1973 Prime
VF 206 PUBLIC RECORDS,VA 2923 State Library of Victoria 1960 -1973 Prime
VF 187 VALUATIONS,VA 601 Local Government Department 1960 -1985 Prime
VF 5 FINANCE,VA 2322 Office of the Valuer-General 1960 -ct Prime
